UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 08:06 ?        00:00:00 tail -f /dev/null
root        2498       0  0 08:07 ?        00:00:00 bash --noprofile --norc -e -o pipefail /__w/_temp/13d36b5c-2a3d-4587-b896-ef29a98ce83c.sh
root        2505    2498  1 08:07 ?        00:00:01 Xvfb :99 -screen 0 1600x1000x24 -nolisten tcp -noreset
root        2511    2498  0 08:07 ?        00:00:00 openbox
root        2522       1  0 08:07 ?        00:00:00 [dbus-daemon] <defunct>
root        2530       1  1 08:07 ?        00:00:01 [python3] <defunct>
root        2659       1  0 08:07 ?        00:00:00 [xdg-desktop-por] <defunct>
root        2665       1  0 08:07 ?        00:00:00 [xdg-permission-] <defunct>
root        2671       1  0 08:07 ?        00:00:00 [xdg-document-po] <defunct>
root        2678       1  0 08:07 ?        00:00:00 [xdg-desktop-por] <defunct>
root        2688       1  0 08:07 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        2693       1  0 08:07 ?        00:00:00 [dbus-daemon] <defunct>
root        2725       1  0 08:07 ?        00:00:00 [at-spi2-registr] <defunct>
root        2754       1  0 08:07 ?        00:00:00 [dbus-daemon] <defunct>
root        2762       1  1 08:07 ?        00:00:01 [python3] <defunct>
root        2785       1  0 08:07 ?        00:00:00 [xdg-desktop-por] <defunct>
root        2791       1  0 08:07 ?        00:00:00 [xdg-permission-] <defunct>
root        2797       1  0 08:07 ?        00:00:00 [xdg-document-po] <defunct>
root        2804       1  0 08:07 ?        00:00:00 [xdg-desktop-por] <defunct>
root        2815       1  0 08:07 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        2820       1  0 08:07 ?        00:00:00 [dbus-daemon] <defunct>
root        2852       1  0 08:07 ?        00:00:00 [at-spi2-registr] <defunct>
root        2881       1  0 08:07 ?        00:00:00 [dbus-daemon] <defunct>
root        2889       1  1 08:07 ?        00:00:02 [python3] <defunct>
root        2911       1  0 08:07 ?        00:00:00 [xdg-desktop-por] <defunct>
root        2918       1  0 08:07 ?        00:00:00 [xdg-permission-] <defunct>
root        2924       1  0 08:07 ?        00:00:00 [xdg-document-po] <defunct>
root        2931       1  0 08:07 ?        00:00:00 [xdg-desktop-por] <defunct>
root        2942       1  0 08:07 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        2947       1  0 08:07 ?        00:00:00 [dbus-daemon] <defunct>
root        2987       1  0 08:07 ?        00:00:00 [at-spi2-registr] <defunct>
